plate_uuid	plate_barcode	plate_name
bc82195c-9121-423e-a7f3-fff4750e31e9	250570376193320288109834966886339457513	Plate-44401
5d4d1719-eed2-4381-bc8e-58a054db540b	124018479016140930303849526278213030923	Plate-44402
1677359d-0b3d-460a-9670-fef574830302	29861986643442712313705330161209246466	Plate-44403
a23e4282-d4be-4d1a-97ce-7adb3e53d32b	215658206726921380688622778836095062827	Plate-44404
f4929920-7b49-4910-b4e1-0ef57b82e038	325092812094991369818120223385767305272	Plate-44405
fcc748ff-e585-4072-b3d6-b68896868a34	336000202620353293457952798669917293108	Plate-44406
cebfc530-a2ed-4fab-b186-c85e6f06bc03	274816695319740005203439384968877751299	Plate-44407
d4f24d60-ceed-4e0f-bf93-f01848e11948	283054440361651471967247747289266067784	Plate-44408
8182f9f1-10c3-47ca-8772-fe4acbc1c0b4	172150479467029990115930101571093905588	Plate-44409
3ac49244-d002-4f40-8b6e-18e5eece8488	78115880623490805109539405603493807240	Plate-44410
d4907a31-51b4-430c-b85a-1c752786665c	282546504215468998013118578208432088668	Plate-44411
91218bf9-afc2-46f6-b38b-64878ba8dbf5	192912244222286567961033532562209299445	Plate-44412
74a70b2e-8cb2-46fb-b44d-6528de3a0f89	155057787880970098674998833319350243209	Plate-44413
f18fe847-a2c3-4ddf-b089-216bf1e16ae8	321091156629535471295450285998942022376	Plate-44414
