sequence	uuid	sample_barcode	sample_name	plate_name	plate_well_position	germplasm_name	number_of_plants	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	Submergence	Submergence.1	Drought
1	4aaf9cc8-2d9c-4218-9a75-c2a54164c7d9	99274703553973771943188367276970919897	XBL-167-1	Plate-44401	A01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
2	8e226c5d-b1ce-434c-ac3d-040e4d31b2ba	188929111418132749568836495187733754554	XBL-167-2	Plate-44401	B01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
3	2e8f9647-46b0-478d-8efe-0d240e133d1a	61890034265393756298847762106604010778	XBL-167-3	Plate-44401	C01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
4	169e394d-5898-4f1b-9fd0-ecd564352463	30064561036251384878149724465297433699	XBL-167-4	Plate-44401	D01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
5	87619e01-f8c6-4c63-9042-3b30d5eda401	179952637003179071084625303522505499649	XBL-167-5	Plate-44401	E01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
6	ea6ac75a-a59e-4293-94c7-bc840439794e	311593777861977110252920874332711385422	XBL-167-6	Plate-44401	F01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
7	bec94562-5a1e-45c7-aa07-9e52dba35cdd	253598378146212342753173126867270720733	XBL-167-7	Plate-44401	G01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
8	632bc7f0-b159-4cda-94c7-3422d9c48206	131820895616780603179646378348283986438	XBL-167-8	Plate-44401	H01	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
9	c929dc9a-d1bc-4026-b948-fd1b1b9b42ff	267392185720127797003167274761688138495	XBL-167-9	Plate-44401	A02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
10	b6f91dbe-89fa-4882-b5ff-f94794abb46e	243212980436561264778669318432063468654	XBL-167-10	Plate-44401	B02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
11	9882729a-9343-487d-9033-5a382377465f	202719978392324220560496386125656966751	XBL-167-11	Plate-44401	C02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
12	5cfcb2ec-ca1d-4b8d-8876-b0de2c811727	123601063449870227854249968357452355367	XBL-167-12	Plate-44401	D02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
13	bfe6c6c2-0123-4f5c-9c25-ce072f9427c9	255080806760099165066026681719950944201	XBL-167-13	Plate-44401	E02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
14	83b9a530-2f32-4b15-a10c-7bd4bef195de	175092792781795922001041599457788007902	XBL-167-14	Plate-44401	F02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
15	6640c2de-9a36-4a84-b4ed-9a2132c64d58	135917514992849160005032990053312646488	XBL-167-15	Plate-44401	G02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
16	a5963b22-0429-45cf-9f47-7bc669e833d0	220102663190503319778080430065906627536	XBL-167-16	Plate-44401	H02	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
17	ce4bcccd-0000-44d0-9882-8e73a9ca2001	274214543249415567224112838693834334209	XBL-167-17	Plate-44401	A03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
18	cea80836-4d5b-4464-8388-8ee7717c2ad6	274693439565464806824316726024473422550	XBL-167-18	Plate-44401	B03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
19	345fb771-9cde-47c2-b0db-54e7c5a0cd43	69616844664664648326782880070624136515	XBL-167-19	Plate-44401	C03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
20	dbd0340d-3e0c-473b-b377-d46a0ec34128	292181984557940236993035515722715054376	XBL-167-20	Plate-44401	D03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
21	76cb53b3-9d41-40a1-a104-3f237089f615	157904637435408868086411834906271938069	XBL-167-21	Plate-44401	E03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
22	2a0685fb-50c6-4512-966a-ab21dadc8e34	55861447075862246664404877495683026484	XBL-167-22	Plate-44401	F03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
23	826c0877-8203-4207-80d7-b6167220956e	173360579240425983141028646748405405038	XBL-167-23	Plate-44401	G03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
24	c13f9dac-b693-494d-9eb8-e067f96dd605	256871315910632513424312643858065118725	XBL-167-24	Plate-44401	H03	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
25	febbd97b-7a36-470a-acc1-f2d0b1a9978b	338599281507685414828497227349146310539	XBL-167-25	Plate-44401	A04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
26	00511787-0830-4de3-a380-b40f740f91b9	421053239298420791340259166479421881	XBL-167-26	Plate-44401	B04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
27	b7b7ed7a-f0dc-42ef-8f8e-ad22c58e7f2d	244203730225206052516299568454988365613	XBL-167-27	Plate-44401	C04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
28	3d306718-7a0a-4df7-934e-21ba16f357c3	81334229019524245083279133612843423683	XBL-167-28	Plate-44401	D04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
29	14fc821f-a92c-4c89-b97d-7bbe793f3698	27895657945727127516108376639633569432	XBL-167-29	Plate-44401	E04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
30	592b5d28-5459-4ac7-8f07-2e85820869cd	118526449849098838811655318757819574733	XBL-167-30	Plate-44401	F04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
31	667249d3-1602-4157-874e-d091c03c6fa1	136174674751789143103703878394925838241	XBL-167-31	Plate-44401	G04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
32	502063c8-4178-4844-ab5b-eb64dd4acc49	106506416986711586698511300408218668105	XBL-167-32	Plate-44401	H04	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
33	a9c7b703-d92f-496d-98d3-b8b14f4ceec8	225676510348356582416516026672970788552	XBL-167-33	Plate-44401	A05	XBL-167	191	KR 104*2/SIKA	BC1F1	KR 104	DP	SIKA	RP	xbl-2018-P3				
